"user_id","created_at","text","source","display_text_width","location","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at"
"x1185625426816897026",2019-12-08 19:39:16,"Oh well that was one of my dark times and I feel that was what triggered me already building depression","Twitter for iPhone",103,"",2,29,0,191,63,2019-10-19 18:35:19
"x1029126403483160576",2019-12-08 19:39:06,"@GeorgiGia2 sorry to hear u had this for so long. i started deeling down when i was 17 but got clinical depression 10 years ago.","Twitter Web App",116,"",11,349,0,1112,1391,2018-08-13 22:03:49
"x1029126403483160576",2019-12-08 19:29:35,"@GeorgiGia2 how do u manage ur anxiety and depression georgi?","Twitter Web App",61,"",11,349,0,1112,1391,2018-08-13 22:03:49
"x1029126403483160576",2019-12-08 14:28:19,"@GeorgiGia2 announce nightshow and fuck anxiety and depression.","Twitter Web App",63,"",11,349,0,1112,1391,2018-08-13 22:03:49
"x1092468952377241600",2019-12-08 19:39:03,"back to work and make money as he suffered nervous breakdowns and depression because of his professional failures and problems , for which he was prescribed psychiatric medication which he did not however take.","Twitter Web App",210,"",81,113,0,6426,8031,2019-02-04 17:04:30
"x852307073236959232",2019-12-08 19:39:03,"@sdavislv1 @RepAdamSchiff Obama saved the USA from the George Bush Great Depression. 
That’s a fact. 
Trump gave 2 trillion in tax breaks to the 1% and corporations instead of helping you out and helping everyone you know aka the lower middle class.
you’re voting against your interests. 
Wake up.","Twitter for iPhone",271,"United States",80,240,1,8640,22682,2017-04-12 23:46:56
"x1111450128265695232",2019-12-08 19:39:01,"@taurising Depression and drugs cause you to expect the worse. It's not manifestation, he was voicing his paranoia and pain.","Twitter for iPhone",113,"Des Moines, IA",50,170,0,1480,1962,2019-03-29 02:08:55
"x911545674331803648",2019-12-08 19:38:52,"I have had close calls but I haven’t relapsed into a deep state of depression since 2018. We grow and glow over here 🤗 https://t.co/4ajnk8721U","Twitter for iPhone",118,"",334,327,1,2656,1213,2017-09-23 10:59:59
"x217147630",2019-12-08 19:38:47,"@charteredtax When the diagnosis comes, it explains a lot of behaviours that we have. I was diagnosed with depression 9 long years ago for me. It’s been a struggle at times but talking about it helps. I’m medication free at the moment which was a massive risk but im doing alright.","Twitter for iPhone",267,"southsea Hampshoh",5097,5417,27,69055,10590,2010-11-18 18:24:35
"x435113435",2019-12-08 19:38:03,"2020 y’all should start looking into therapy. It’s really sad to see how many people feel like they’re incapable of beating depression","Twitter for iPhone",134,"",1895,1734,0,91114,8974,2011-12-12 17:54:26
"x435113435",2019-12-08 19:38:47,"When I was dealing with my depression I literally just wanted it to stop so I had to suck it up and get a therapist and I’m honestly happy I did.","Twitter for iPhone",145,"",1895,1734,0,91114,8974,2011-12-12 17:54:26
"x948234373773406208",2019-12-08 19:23:57,"when i get sad, broken, full of pain, tears, depression, 
someone choose to having fun bareng tmn2nya, even still choose to follow moodnya, ternyata kecewa sesederhana itu :)","Twitter for Android",174,"Indonesia",18,148,0,194,405,2018-01-02 16:47:46
"x948234373773406208",2019-12-08 19:38:39,"when i said, i get depression, is that just a joke for you? how can you said you'll hangout with you friend? how can?! you crazy, no,  i'm crazy to believe you ""no matter what, we'll pass together"" .","Twitter for Android",199,"Indonesia",18,148,0,194,405,2018-01-02 16:47:46
"x948234373773406208",2019-12-08 19:19:07,"depression is real","Twitter for Android",18,"Indonesia",18,148,0,194,405,2018-01-02 16:47:46
"x614594644",2019-12-08 19:20:31,"Fitted a new toilet seat today...

Markie 1: Depression 0","Twitter Web App",57,"England",1521,975,36,54202,17097,2012-06-21 21:28:19
"x614594644",2019-12-08 19:38:35,"@BumBreath @Trampolinecare It's tricky when you can't think straight cos depression...","Twitter Web App",59,"England",1521,975,36,54202,17097,2012-06-21 21:28:19
"x21453523",2019-12-08 19:38:32,"@landonb94 @Betterduck @Titan_Cane @CledyLee @UCF_National @ThePewterKnight @flatechU @CCollins0917 @bluegoldbanter @hoorayforeric @BGG_Miami @Zack_Shields @AdamTara @jaredf29 @TheRealTCG3 @Canes_lnsider @louisianaking19 @FearThePegasus @MDKnight2016 @Basscleftisbest @Tim_theFinn @knightronaut @MedievalTimes @MedievalTimesFL @UCFSports No. It’s actual sad... and I believe you suffer from either low self esteem or depression. I like having trolling exchanges... but you tend to stray from the topic way too much.","Twitter for iPad",177,"Chicago & Beyond 😎",2549,1964,92,67312,19992,2009-02-21 01:22:52
"x1195414998979362822",2019-12-08 19:38:28,"@saitamafauxe It’s a state of mind. Hence the words mental illness. You aren’t born depressed.  So therefore it’s developed over a period of time due to situations/circumstances. You just not depressed overnight. So just like you can work ya way into depression you can work ya way out of it.","Twitter for iPhone",278,"",65,322,1,530,531,2019-11-15 18:55:28
"x1195414998979362822",2019-12-08 19:25:07,"Y’all niggas kill me smh. Depression ain’t a gene","Twitter for iPhone",49,"",65,322,1,530,531,2019-11-15 18:55:28
"x1195414998979362822",2019-12-08 19:20:06,"@unclepaid Nigga no it’s not. Depression is a state of mind.  You don’t become out the womb depressed.  You go into depression so therefore you can get out of it.  I ain’t hearing that shit","Twitter for iPhone",178,"",65,322,1,530,531,2019-11-15 18:55:28
"x1223412139",2019-12-08 19:38:25,"“If my gf broke up with me, I would get the big sad (aka depression). It was dated 1/31/19. WE HAD ONLY BEEN DATING 30 DAYS LMAO","Twitter for iPhone",128,"Houston, TX",512,812,5,46635,19011,2013-02-27 02:02:04
"x430939885",2019-12-08 19:38:21,"@TideFanAtlanta Eight years of depression will do that to you 🐘🐘🐘","Twitter for Android",49,"Mobile, AL",1832,2099,2,6279,16764,2011-12-07 18:49:30
"x286402807",2019-12-08 19:38:21,"10 Things People With Depression Should Do Each Day by
@PsychCentral https://t.co/Tqa1CHbUsD","Twitter Web App",92,"on a plane, train or phone",940,1216,67,1875,145,2011-04-22 23:06:45
"x1202666352164704256",2019-12-08 19:38:20,"i have seasonal depression for summer and winter so i really need yall to start caring about climate change on a personal level. where did spring and fall go????","Twitter for iPhone",161,"",8,18,0,5,1,2019-12-05 19:09:44
"x2812466624",2019-12-08 19:38:16,"my depression has decided the only thing i can do today is say “seashells” in kevin abstract’s voice","Twitter for iPhone",100,"LA/CHI",320,287,0,3011,25820,2014-09-16 05:09:58
"x924666742630166528",2019-12-08 19:19:33,"@lllIIlIIIlIlIIl @udontundrstand @CamHaller How am I faking bitch? I faked nothing. Depression is a real thing. I don’t need a doctors note to have it when I know I do. I’ve been through a lot more than your old ass has and I can guarantee that. Lots of people my age have it, it’s what’s in the air nowadays.","Twitter for iPhone",265,"",122,1000,0,3868,7423,2017-10-29 15:58:25
"x924666742630166528",2019-12-08 19:38:01,"@lllIIlIIIlIlIIl @udontundrstand @CamHaller I’m 13 for one, for 2 I didn’t say he cured my depression, I said he helped save me through tough times","Twitter for iPhone",103,"",122,1000,0,3868,7423,2017-10-29 15:58:25
"x598552240",2019-12-08 19:37:54,"@AidenHatfield When it comes to depression talking about it helps a lot...you're not alone anymore and it's like someone shares that big burden with you. So yes reach out and talk!","Twitter for Android",165,"Italy",127,115,1,13974,31731,2012-06-03 18:29:10
"x896329069289197568",2019-12-08 19:37:53,"@xpeeze depression always been hitting me","Twitter for iPhone",33,"Pc",453,80,0,11034,27236,2017-08-12 11:14:38
"x1554923587",2019-12-08 19:37:51,"J. Cole literally the only artist to get me through depression nfs","Twitter for iPhone",66,"The Fucking Bronx",539,157,66,68878,8584,2013-06-29 06:06:36
"x1068166742",2019-12-08 16:43:07,"@Karnythia Also younger people will continuously talk about the financial collapse in 2007 screwing the economy and their lives. Well Gen many X'ers had their lives screwed by the financial depression in the 80s and early 90s. But that too is forgotten history.","Twitter Web App",250,"",206,223,3,9991,11775,2013-01-07 12:13:17
"x1068166742",2019-12-08 19:37:50,"@Ladypolitik You know what. Come back and bitch at me once you've learned about the economy of the 80s and 90s and tell me how lucky late Gen Xers and older Millennials are because at least our financial depression wasn't as bad as yours.","Twitter Web App",225,"",206,223,3,9991,11775,2013-01-07 12:13:17
"x1009556719",2019-12-08 19:37:47,"My depression absolutely whooped my ass yesterday. Niners playing phenomenally got me back let’s see how long this lasts","Twitter for iPhone",120,"CA",93,50,0,1761,2157,2012-12-13 19:26:57
"x65312713",2019-12-08 19:37:36,"Gotta love depression and anxiety. I woke up incredibly sad for no reason so excuse my woe is me tweets","Twitter for Android",103,"Chicago",221,167,6,19118,2708,2009-08-13 08:07:46
"x1162528914075504640",2019-12-08 19:37:36,"brb curing depression https://t.co/SsFugcuKHd","Twitter for Android",21,"h",67,80,0,163,2385,2019-08-17 00:58:02
"x43299449",2019-12-08 19:37:22,"Depression is real and an epidemic among my generation and generations to come if we don’t continue have a conversation about it! https://t.co/yEABX9xqvu","Twitter for iPhone",129,"Second Star from the Right duh",474,1289,11,27895,37201,2009-05-29 08:53:16
"x28494626",2019-12-08 19:37:15,"Fantasy season was over in the first half. What is life? I’m tired of life. Going into a deep depression until 2020. Leave me alone.","Twitter for iPhone",132,"NY",536,366,20,28673,58049,2009-04-03 03:43:52
"x1177993474550878208",2019-12-08 19:37:11,"I’ve watched so many people around me leave due to drug abuse/depression  &amp;just wanna say that I’m sorry. 

I’m sorry for the pain you were going thru &amp;not being able to help you. 
I’m sorry if you ever felt alone. 
I’m sorry that was your only way out. 
I am so fucken sorry. . .","Twitter for iPhone",288,"",49,46,0,920,1883,2019-09-28 17:08:32
"x812701654159998976",2019-12-08 19:37:05,"@Leesybug527 Is there somewhere safe for you to go until you’re feeling better? I have lived with depression too &amp; the severity of symptoms will fluctuate so do not make any rash decisions that could be potentially irreversible. Seek help and know that we’re here for you. 💖","Twitter for iPhone",265,"Phoenix, AZ",100,264,0,4334,6346,2016-12-24 16:49:08
"x3195565122",2019-12-08 19:37:05,"@mrttech24 Depression is so real. High scary to be in that position","Twitter for iPhone",56,"Westcoast",409,1009,9,26405,5751,2015-05-14 18:44:17
"x833430244333854720",2019-12-08 19:36:57,"can someone just suck all of the depression, sadness, self-hatred and anxiety out of me? Imma be empty af tho","Twitter for iPhone",109,"Uranus",64,23,0,315,449,2017-02-19 21:37:09
"x748660603766530048",2019-12-08 19:36:49,"I wake up in a constant state of depression living in Sacramento. I've been grinding since I've been in college and now that I'm at a university, its only getting harder. Living costs more, food costs more, no financial aid to make a difference. No involved family?","Twitter for Android",265,"Sacramento, CA",232,326,4,15033,8541,2016-06-30 23:32:52
"x979150322315776000",2019-12-08 19:36:48,"Depression starting to hit a lot lately.","Twitter for iPhone",40,"United Arab Emirates",1317,1757,2,2082,972,2018-03-29 00:16:43
"x725691087285800960",2019-12-08 19:36:48,"This year for me has had more than its fair share of epic highs and lows but I feel like I'm closing out the year on a really low point...Can't shake the crippling depression and anxiety, the major mood swings, can't even get treated...Not to be negative but it sucks &amp; I'm tired","Twitter for Android",283,"Nigeria",1554,1965,7,5986,4362,2016-04-28 14:20:12
"x1439072677",2019-12-08 19:36:43,"the depression has hit and face my fears just came on shuffle thanks spotify","Twitter for iPhone",76,"⚢ • ♈︎",3153,148,58,87515,59769,2013-05-18 18:15:33
"x721516668",2019-12-08 19:36:34,"What thing(s) do I do/have that disappoint my family?
A. smoke
B. vape
C. drink alcohol 
D. depression
E. anxiety

Me, an intellectual: https://t.co/OvMrLftvoB","Twitter for Android",135,"",292,433,1,4620,6941,2012-07-28 04:53:24
"x357022438",2019-12-08 19:36:27,"@BigFishWizzle Depression is many things. It is absolutely not a choice.","Twitter for iPhone",57,"",1015,730,3,9728,1082,2011-08-17 18:37:29
"x2761425822",2019-12-08 19:36:21,"@rudeassevelyn Don’t feel afraid to ask for help. I suffered from depression for a long time and was in a very dark place for a very long time. I went to South Bay Mental Health clinic in Hawthorne. You can give them a call tomorrow and make an appt. Hope all gets better for you❤️","Twitter for iPhone",266,"",172,165,0,2306,3387,2014-08-24 04:41:50
"x94036331",2019-12-08 19:36:19,"@FrHarrison Great thread. Agree 100%. As someone with depression, phrases like this annoy me to no end, because I'm trying to make it moment to moment at times, let alone to a vast future of ""something big"", even if it's a gift from God.","Twitter for Android",225,"Pennsylvania",482,302,10,1559,4509,2009-12-02 06:38:19
"x1116861301",2019-12-08 19:36:19,"@ahzloco I sit down and reflect a lot. Actually, this is called overthinking and it causes most of my anxiety / depression . DO YOUR MATH","Twitter for iPhone",128,"",222,157,0,9620,6497,2013-01-24 13:56:46
"x995294396189954049",2019-12-08 19:36:18,"depression","Twitter for Android",10,"Florida, USA",83,259,0,1360,3026,2018-05-12 13:27:30
"x289407259",2019-12-08 19:36:05,"Well then i would give u my depression instead. Could be better. https://t.co/64cE9lY3eP","Twitter for iPhone",64,"",430,299,5,163428,13825,2011-04-28 16:01:05
"x954613685103792128",2019-12-08 19:36:05,"Fantasizing lifestyles of constant drug abuse and clinical depression because artists sing about it... this shit is not a joke and you’re not cool by living vicariously through them and their music. Get help","Twitter for iPhone",207,"Michigan, USA",141,214,0,982,2984,2018-01-20 07:16:53
"x1158904592",2019-12-08 19:36:04,"i’m a sucker for deep talks... i wanna know what gave you depression and anxiety","Twitter for iPhone",80,"",2388,965,30,112688,114396,2013-02-08 02:41:54
"x961525624081858560",2019-12-08 19:35:58,"😞i feel hopeless 
tweets saying goodbye im a failure im such a disappointment i wanna cry i wont take my meds depression is heaven
Please stop i beg u please 
I cant lose anymore of u 
What can i do so that u can feel happy and feel amazing and feel that someone loves u ?
😞","Twitter for Android",274,"BTS WORLD ",1319,1324,3,1391,5025,2018-02-08 09:02:27
"x250882429",2019-12-08 19:35:55,"ok seasonal depression ... i feel ya sneaking up 🤪","Twitter for iPhone",50,"exactly where I need to be",1356,434,8,144134,16461,2011-02-12 00:36:39
"x1178600537714880512",2019-12-08 19:35:55,"I miss my friends but this depression is taking over","Twitter for iPhone",52,"",60,61,0,540,870,2019-09-30 09:20:55
"x2499153661",2019-12-08 19:35:55,"Depression is REAL I’m so glad I overcame it I still struggle every now and then but I always remember how much my friends and family (that I fuck with) love me 🖤","Twitter for iPhone",162,"",599,531,2,37920,5192,2014-05-16 15:22:41
"x797709458738585600",2019-12-08 19:35:54,"@stalebreadOwO if you faked depression u a bitch","Twitter for iPhone",33,"Washington, USA",108,225,0,735,1941,2016-11-13 07:55:30
